"Country Name",lats,lons
Afghanistan,34,69
Australia,-35,149
Austria,48,16
Bangladesh,23,90
Belgium,50,4
Brazil,-15,-47
Bulgaria,42,23
Cambodia,11,104
Cameroon,3,11
Canada,45,-75
China,39,116
Colombia,4,-74
Croatia,45,15
France,48,2
Germany,52,13
Greece,37,23
India,28,77
Indonesia,-6,106
Iraq,33,44
Italy,41,12
Japan,35,139
Kazakhstan,51,71
Kenya,-1,36
"Korea, Rep.",37,126
Luxembourg,49,6
Malaysia,3,101
Mexico,16,-99
New Zealand,-41,174
Niger,13,2
Nigeria,9,7
Pakistan,33,73
Philippines,14,120
Portugal,38,-9
Qatar,25,51
Romania,46,25
Russian Federation,61,50
Saudi Arabia,24,45
Singapore,1,103
Spain,40,-3
Sri Lanka,6,79
Switzerland,47,8
Tanzania,-6,39
Thailand,-16,-68
Togo,8,1
Turkey,39,32
Uganda,0,32
United Arab Emirates,24,54
United Kingdom,51,0
United States,38,-97
Vietnam,21,105
